LLINDAR POBLACIÓ,ÀREA GEOGRÀFICA,CIUTAT,Codi Municipi,pers,llar,cult,quot,host,serv,trans,altr,other,localb,naub,perscultllar,actius comercials,actius,total,IATC,IAC,Municipi,IDC
>20k,"Vallès Occidental, alt Baix Llobregat",Sant cugat del vallès,082055,230,146,200,203,355,1357,116,224,513,420,4,576,2831,3344,3768,88.75,17.22,92977,3.04
>20k,"Girona, Costa Brava.",Sant Feliu de Guíxols,171609,53,56,29,66,122,195,43,33,17,463,2,138,597,614,1079,56.9,22.48,22097,2.7
>20k,"Barcelonès, Baix Llobregat.",Sant Feliu de Llobregat,082114,101,56,40,104,119,266,28,40,19,111,,197,754,773,884,87.44,25.49,45467,1.66
>20k,"Barcelonès, Baix Llobregat.",Sant Joan Despí,082172,72,44,47,135,171,339,54,82,212,183,45,163,944,1156,1384,83.53,14.1,34267,2.75
>20k,"Penedès, Garraf.",Sant Pere de Ribes,082310,21,21,17,39,56,95,14,19,15,154,1,59,282,297,452,65.71,19.87,31111,0.91
>20k,"Vallès Occidental, alt Baix Llobregat",Sant Quirze del Vallès,082384,30,16,16,33,41,123,15,23,17,86,6,62,297,314,406,77.34,19.75,20195,1.47
>20k,"Barcelonès, Baix Llobregat.",Sant Vicenç dels Horts,082634,71,62,36,88,109,185,50,53,160,82,53,169,654,814,949,85.77,20.76,28268,2.31
>20k,"Barcelonès, Baix Llobregat.",Santa Coloma de Gramenet,082457,196,147,63,411,396,573,77,105,84,1186,4,406,1968,2052,3242,63.29,19.79,120443,1.63
>20k,"Vallès Occidental, alt Baix Llobregat",Santa Perpètua de Mogoda,082606,39,19,14,54,73,132,28,23,18,196,1,72,382,400,597,67,18,25999,1.47
>20k,"Penedès, Garraf.",Sitges,082704,194,50,64,112,350,270,33,38,43,133,,308,1111,1154,1287,89.67,26.69,29553,3.76
>20k,"Tarragona, Reus.",Tarragona,431482,343,156,177,311,587,1195,120,149,260,1502,2,676,3038,3298,4802,68.68,20.5,136496,2.23
>20k,"Vallès Occidental, alt Baix Llobregat",Terrassa,082798,595,338,291,666,766,1933,393,442,1045,972,264,1224,5424,6469,7705,83.96,18.92,223627,2.43
>20k,"Tortosa, Amposta.",Tortosa,431554,177,60,28,68,112,192,29,52,30,221,1,265,718,748,970,77.11,35.43,33439,2.15
>20k,"Tarragona, Reus.",Valls,431613,113,57,44,85,86,234,39,39,47,385,,214,697,744,1129,65.9,28.76,24477,2.85
>20k,"Vic, Manlleu.",Vic,082981,250,78,72,117,110,544,24,49,37,149,,400,1244,1281,1430,89.58,31.23,47630,2.61
>20k,"Tarragona, Reus.",Vila-seca,431711,28,26,24,45,107,163,24,26,31,204,,78,443,474,678,69.91,16.46,22555,1.96
>20k,"Barcelonès, Baix Llobregat.",Viladecans,083015,156,103,92,207,316,631,120,141,289,540,68,351,1766,2055,2663,77.17,17.08,67197,2.63
>20k,"Penedès, Garraf.",Vilafranca del Penedès,083054,151,37,38,72,103,192,15,37,25,174,,226,645,670,844,79.38,33.73,40154,1.61
>20k,"Penedès, Garraf.",Vilanova i la Geltrú,083073,267,109,101,161,288,453,56,88,77,267,3,477,1523,1600,1870,85.56,29.81,67733,2.25
>20k,Maresme.,Vilassar de Mar,082191,59,35,33,77,77,171,23,31,21,78,,127,506,527,605,87.11,24.1,21035,2.41
